Genotype 1,Genotype 2,pval
Zim53;765_1,Zim53;765_5,1
Zim53;765_1,Zim53;765_2,0.30621032825115535
Zim53;765_1,siI;765_1,0.0024516250755626146
Zim53;765_1,siI;765_2,1
Zim53;765_1,siI;765_5,1
Zim53;765_5,Zim53;765_2,2.0485537594783012e-5
Zim53;765_5,siI;765_1,1.4562271009429569e-6
Zim53;765_5,siI;765_2,0.015945014631955648
Zim53;765_5,siI;765_5,0.3074936186450673
Zim53;765_2,siI;765_1,1
Zim53;765_2,siI;765_2,0.9096275440683993
Zim53;765_2,siI;765_5,0.01258612403133154
siI;765_1,siI;765_2,0.04344816596366349
siI;765_1,siI;765_5,1.736842720760374e-4
siI;765_2,siI;765_5,1
