Deficiency Stock (BSC),Marker,Events,Mean,SEM,Median
23667,none,322,37.49068322981366,0.4265917917458531,36
23667,TM6C,217,59.12903225806452,0.8384360101547247,60
23668,none,239,73.72384937238493,1.5406797149225966,75
23668,TM6C,227,81.65638766519824,1.480446261275664,75
24416,none,356,23.258426966292134,0.6227359239062297,24
24416,TM6C,315,77.7015873015873,1.2956113265800828,74
24417,none,269,72.10408921933086,1.290048985808668,75
24417,TM6C,203,109.52709359605912,1.6008154588677725,125
24418,none,405,39.91111111111111,0.7761762857633012,36
24418,TM6C,314,93.71019108280255,1.2763615558833323,99
26525,none,722,32.80886426592798,0.44750266689996215,36
26525,TM6C,684,95.05847953216374,0.9407683567684096,102
26827,none,328,51.350609756097555,0.7552407116127954,48
26827,TM6C,161,71.04347826086956,1.2438296556160258,73
26828,none,389,92.73521850899743,1.0286430183300632,102
26828,TM6C,327,87.32721712538226,1.2593894016204652,88
27577,none,307,79.46905537459284,1.6930606456724342,72
27577,TM6C,331,67.16012084592144,1.1736081618463932,60
6457,none,497,92.59557344064385,1.2182192381923118,102
6457,TM6C,451,56.90022172949002,0.8408621638573854,50
8066,none,404,75,0.9683122760021605,72
8066,TM6C,340,84.82941176470588,1.338445703828317,90
8068,none,315,63.77142857142857,0.9874574615745111,60
8068,TM6C,343,81.533527696793,1.3244926017297642,90
8069,none,345,72.59130434782608,0.7637632973642431,72
8069,TM6C,391,77.07928388746802,1.3021759717849806,72
8072,none,295,42.50847457627119,0.5741509231429723,36
8072,TM6C,292,68.95890410958904,1.373332536286379,60
8970,none,349,84.44699140401147,1.2722136262372654,90
8970,TM6B,345,99.87826086956521,1.2905775112693445,102
8975,none,353,96.1699716713881,1.396637346451312,102
8975,TM6B,331,106.13293051359516,1.2279476580507385,114
9355,none,82,73.1951219512195,2.2150477093432857,74
9355,TM6C,78,80.38461538461539,2.446013459474128,74
